pos,pts,team,goals for,against,xGA,xGA against
1,88,Barcelona,102,39,2.04,0.98
2,84,Real Madrid,78,38,1.93,1.24
3,76,Atletico,68,30,1.51,1.25
4,70,Bilbao,54,29,1.45,1.12
5,70,Villarreal,71,51,1.59,1.50
6,60,Real Betis,57,50,1.62,1.32
7,55,Celta Vigo,59,57,1.45,1.27
8,52,Vallecano,41,45,1.53,1.42
9,52,Osasuna,48,52,1.33,1.52
10,48,Mallorca,35,44,1.19,1.61
11,46,Real Sociedad,35,46,1.25,1.34
12,46,Valencia,44,54,1.24,1.37
13,42,Getafe,34,39,1.26,1.20
14,42,Espanyol,40,51,1.08,1.72
15,42,Alaves,38,48,1.25,1.30
16,41,Girona,44,60,1.29,1.43
17,41,Sevilla,42,55,1.40,1.34
18,40,Leganes,39,56,1.11,1.65
19,32,Las Palmas,40,61,1.25,1.62
20,16,Valladolid,26,90,1.07,1.75
